"TA+b00ew","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00ex","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00ey","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00ez","1","1","1","1","0","0","0","2019-12-15","2020-12-12"
"TA+b00f0","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00f2","0","0","0","0","1","0","0","2019-12-15","2020-12-12"
"TA+b00f5","0","0","0","0","1","0","0","2019-12-15","2020-12-12"
"TA+b00f7","0","0","0","0","1","0","0","2019-12-15","2020-12-12"
"TA+b00f8","0","0","0","0","1","0","0","2019-12-15","2020-12-12"
"TA+b00f9","0","0","0","0","1","0","0","2019-12-15","2020-12-12"
"TA+b00fb","0","0","0","0","1","0","0","2019-12-15","2020-12-12"
"TA+b00fc","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00fd","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b00fe","0","0","0","0","1","0","0","2019-12-15","2020-12-12"
"TA+b00fj","0","0","0","0","1","0","0","2019-12-15","2020-12-12"
"TA+b00fk","0","0","0","0","0","1","0","2019-12-15","2020-12-12"
"TA+b00fl","0","0","0","0","0","1","0","2019-12-15","2020-12-12"
"TA+b00fm","0","0","0","0","0","1","0","2019-12-15","2020-12-12"
"TA+b00fn","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00fo","0","0","0","0","0","1","0","2019-12-15","2020-12-12"
"TA+b00fp","0","0","0","0","1","0","1","2019-12-15","2020-12-12"
"TA+b00fq","0","0","0","0","0","0","1","2019-12-15","2020-12-12"
"TA+b00fr","0","0","0","0","0","0","1","2019-12-15","2020-12-12"
"TA+b00fs","0","0","0","1","1","0","1","2019-12-15","2020-12-12"
"TA+b00ft","0","0","0","0","0","0","1","2019-12-15","2020-12-12"
"TA+b00fu","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00fv","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00g0","1","1","0","0","0","0","0","2019-12-15","2020-12-12"
"TA+b00g2","1","0","0","0","0","0","1","2019-12-15","2020-12-12"
"TA+b00g3","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00g4","0","0","0","0","0","1","0","2019-12-15","2020-12-12"
"TA+b00g5","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00g7","1","1","1","1","0","1","1","2019-12-15","2020-12-12"
"TA+b00ga","0","0","0","0","0","0","1","2019-12-15","2020-12-12"
"TA+b00gb","0","0","0","0","1","0","0","2019-12-15","2020-12-12"
"TA+b00gd","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00gf","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00gj","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00gk","0","1","0","1","0","0","0","2019-12-15","2020-12-12"
"TA+b00gl","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00gp","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00h4","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00h5","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00hd","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00hh","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b00hk","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00hq","0","1","0","0","0","0","0","2019-12-15","2020-12-12"
"TA+b00ht","0","0","1","1","0","0","0","2019-12-15","2020-12-12"
"TA+b00hu","0","0","0","0","1","1","1","2019-12-15","2020-12-12"
"TA+b00hv","0","0","0","0","0","1","0","2019-12-15","2020-12-12"
"TA+b00hx","0","0","1","1","0","0","1","2019-12-15","2020-12-12"
"TA+b00hy","0","0","0","0","0","0","1","2019-12-15","2020-12-12"
"TA+b00i3","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00i8","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00i9","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b00ia","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00ic","1","1","0","0","0","0","0","2019-12-15","2020-12-12"
"TA+b00id","0","0","0","0","0","1","0","2019-12-15","2020-12-12"
"TA+b00ie","1","1","0","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00if","1","1","0","1","0","0","0","2019-12-15","2020-12-12"
"TA+b00ig","0","1","0","1","0","0","0","2019-12-15","2020-12-12"
"TA+b00ih","1","1","1","1","1","1","0","2019-12-15","2020-12-12"
"TA+b00ii","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
"TA+b00ij","0","0","0","0","1","1","0","2019-12-15","2020-12-12"
"TA+b00ik","0","0","0","0","1","1","0","2019-12-15","2020-12-12"
"TA+b00ip","0","0","1","1","0","0","0","2019-12-15","2020-12-12"
"TA+b00iq","1","1","1","1","1","1","0","2019-12-15","2020-12-12"
"TA+b00ir","0","0","0","0","0","1","1","2019-12-15","2020-12-12"
"TA+b00is","0","0","0","0","1","0","0","2019-12-15","2020-12-12"
"TA+b00it","1","1","1","1","1","1","1","2019-12-15","2020-12-12"
"TA+b00iu","0","0","1","0","0","1","0","2019-12-15","2020-12-12"
"TA+b00iv","1","1","1","1","1","0","0","2019-12-15","2020-12-12"
